Date,Open,High,Low,Close,Adj Close,Volume
2017-11-02,15.520000,16.150000,15.480000,15.720000,15.720000,7993200
2017-11-03,15.980000,15.980000,14.970000,15.290000,15.290000,11436800
2017-11-06,15.300000,16.520000,15.200000,16.260000,16.260000,11920600
2017-11-07,16.010000,16.129999,15.420000,15.840000,15.840000,8495100
2017-11-08,16.200001,16.549999,16.049999,16.129999,16.129999,8897900
2017-11-09,16.360001,16.360001,15.660000,15.940000,15.940000,9781300
2017-11-10,15.850000,15.960000,15.110000,15.220000,15.220000,9732900
2017-11-13,15.390000,15.440000,14.810000,14.910000,14.910000,9015000
2017-11-14,14.680000,15.000000,14.390000,14.600000,14.600000,9554200
2017-11-15,14.880000,14.900000,14.420000,14.820000,14.820000,7889600
2017-11-16,14.680000,14.970000,14.630000,14.880000,14.880000,4910200
2017-11-17,15.060000,15.760000,14.930000,15.520000,15.520000,11169900
2017-11-20,15.120000,15.170000,14.500000,14.700000,14.700000,11095900
2017-11-21,14.890000,15.330000,14.850000,14.990000,14.990000,8299500
2017-11-22,15.300000,15.780000,15.260000,15.600000,15.600000,9824400
2017-11-24,15.320000,15.830000,15.200000,15.320000,15.320000,4398400
2017-11-27,15.810000,15.900000,15.360000,15.660000,15.660000,6094000
2017-11-28,15.690000,15.750000,15.190000,15.370000,15.370000,7150200
2017-11-29,14.990000,14.990000,14.430000,14.540000,14.540000,12350900
2017-11-30,14.370000,14.810000,14.120000,14.420000,14.420000,10288000
2017-12-01,14.420000,15.230000,14.340000,14.520000,14.520000,10940200
2017-12-04,14.300000,14.360000,13.880000,13.950000,13.950000,9067300
2017-12-05,13.720000,13.740000,12.930000,13.340000,13.340000,12249900
2017-12-06,13.040000,13.330000,12.620000,12.790000,12.790000,8071200
2017-12-07,12.310000,12.610000,12.040000,12.280000,12.280000,9940900
2017-12-08,12.370000,12.810000,12.360000,12.640000,12.640000,6982600
2017-12-11,12.740000,13.200000,12.470000,12.680000,12.680000,8056800
2017-12-12,12.530000,12.780000,12.440000,12.760000,12.760000,5732200
2017-12-13,12.680000,14.550000,12.680000,14.210000,14.210000,17244300
2017-12-14,14.100000,14.320000,13.490000,14.150000,14.150000,12127100
2017-12-15,14.570000,14.590000,13.880000,14.040000,14.040000,8719900
2017-12-18,14.340000,14.850000,14.340000,14.690000,14.690000,9638700
2017-12-19,14.780000,15.080000,14.480000,14.850000,14.850000,8529700
2017-12-20,15.100000,15.980000,15.010000,15.750000,15.750000,12143500
2017-12-21,15.730000,16.549999,15.650000,16.240000,16.240000,10590300
2017-12-22,16.520000,17.100000,16.270000,16.910000,16.910000,11243800
2017-12-26,17.280001,18.120001,17.059999,18.040001,18.040001,11865600
2017-12-27,18.240000,18.260000,17.430000,17.940001,17.940001,9297800
2017-12-28,18.100000,18.299999,17.430000,17.910000,17.910000,11278300
2017-12-29,18.100000,18.290001,17.549999,17.760000,17.760000,10435900
2018-01-02,18.299999,19.340000,18.150000,19.320000,19.320000,10985400
2018-01-03,19.129999,19.340000,17.459999,18.330000,18.330000,13163600
2018-01-04,18.120001,18.760000,17.770000,18.629999,18.629999,9071500
2018-01-05,18.180000,18.690001,18.059999,18.219999,18.219999,7014000
2018-01-08,18.049999,18.129999,17.219999,17.400000,17.400000,10323100
2018-01-09,16.840000,16.850000,16.209999,16.379999,16.379999,9628200
2018-01-10,16.940001,17.400000,16.580000,16.930000,16.930000,9609800
2018-01-11,17.150000,17.490000,17.129999,17.340000,17.340000,6655800
2018-01-12,17.750000,18.969999,17.750000,18.809999,18.809999,14056400
2018-01-16,19.040001,19.959999,18.760000,19.820000,19.820000,12209700
2018-01-17,19.520000,20.139999,18.719999,18.830000,18.830000,14311800
2018-01-18,18.900000,19.049999,17.580000,17.719999,17.719999,14910700
2018-01-19,18.080000,18.379999,17.879999,17.930000,17.930000,8256000
2018-01-22,18.049999,18.430000,17.629999,18.040001,18.040001,7028400
2018-01-23,17.709999,19.000000,17.180000,18.860001,18.860001,11468500
2018-01-24,19.850000,20.500000,19.620001,19.959999,19.959999,15518700
2018-01-25,20.150000,20.290001,17.750000,17.980000,17.980000,18857900
2018-01-26,18.299999,18.790001,18.030001,18.309999,18.309999,7413400
2018-01-29,17.750000,17.799999,16.200001,16.420000,16.420000,15765800
2018-01-30,16.940001,17.000000,15.560000,15.780000,15.780000,12702000
2018-01-31,16.250000,16.799999,15.150000,16.520000,16.520000,17892400
2018-02-01,16.020000,16.629999,15.730000,16.420000,16.420000,12451100
2018-02-02,15.580000,15.580000,14.300000,14.470000,14.470000,20187200
2018-02-05,14.620000,14.800000,14.010000,14.600000,14.600000,10713000
